,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y_pred[39],1.8,0.06,1.68,1.92,0.0,0.0,4026.64,4115.48,1.0
y_pred[40],1.8,0.06,1.67,1.92,0.0,0.0,4143.9,3782.51,1.0
y_pred[41],1.79,0.06,1.68,1.92,0.0,0.0,3854.41,3909.74,1.0
y_pred[42],1.79,0.06,1.67,1.91,0.0,0.0,3147.68,3380.77,1.0
y_pred[43],1.78,0.06,1.66,1.91,0.0,0.0,3910.13,3929.82,1.0
y_pred[44],1.78,0.06,1.65,1.89,0.0,0.0,3728.79,3973.6,1.0
y_pred[45],1.77,0.06,1.66,1.9,0.0,0.0,4074.07,3910.0,1.0
y_pred[46],1.77,0.06,1.64,1.89,0.0,0.0,3573.59,3852.32,1.0
y_pred[47],1.76,0.06,1.63,1.88,0.0,0.0,3913.51,3967.42,1.0
y_pred[48],1.76,0.06,1.64,1.87,0.0,0.0,3869.94,3849.7,1.0
y_pred[49],1.75,0.06,1.63,1.87,0.0,0.0,4039.81,4012.67,1.0
y_pred[50],1.75,0.06,1.64,1.88,0.0,0.0,4136.0,4050.9,1.0
y_pred[51],1.74,0.06,1.62,1.87,0.0,0.0,4007.91,3982.3,1.0
y_pred[52],1.74,0.06,1.61,1.86,0.0,0.0,3984.71,4055.86,1.0
y_pred[53],1.73,0.06,1.61,1.85,0.0,0.0,4065.76,4044.44,1.0
y_pred[54],1.73,0.06,1.6,1.85,0.0,0.0,4355.49,4144.62,1.0
y_pred[55],1.72,0.06,1.6,1.84,0.0,0.0,4023.3,3781.37,1.0
y_pred[56],1.71,0.06,1.58,1.83,0.0,0.0,4195.95,4110.25,1.0
y_pred[57],1.7,0.06,1.59,1.82,0.0,0.0,4120.48,3763.2,1.0
y_pred[58],1.7,0.06,1.59,1.83,0.0,0.0,4104.38,3931.61,1.0
y_pred[59],1.69,0.06,1.56,1.8,0.0,0.0,4124.19,3973.93,1.0
y_pred[60],1.68,0.06,1.56,1.8,0.0,0.0,3961.97,3955.82,1.0
y_pred[61],1.67,0.06,1.55,1.79,0.0,0.0,4106.46,4001.86,1.0
y_pred[62],1.67,0.06,1.54,1.79,0.0,0.0,3953.85,4013.05,1.0
y_pred[63],1.66,0.06,1.54,1.79,0.0,0.0,3961.47,3614.67,1.0
y_pred[64],1.65,0.06,1.52,1.77,0.0,0.0,4130.58,4054.75,1.0
y_pred[65],1.64,0.06,1.52,1.76,0.0,0.0,3975.08,3645.02,1.0
y_pred[66],1.63,0.06,1.51,1.75,0.0,0.0,3953.55,3992.92,1.0
y_pred[67],1.63,0.06,1.51,1.76,0.0,0.0,4141.04,3801.43,1.0
y_pred[68],1.62,0.06,1.49,1.74,0.0,0.0,3896.62,3943.12,1.0
y_pred[69],1.61,0.06,1.49,1.74,0.0,0.0,3850.43,3972.8,1.0
y_pred[70],1.6,0.06,1.48,1.73,0.0,0.0,4216.18,3953.74,1.0
y_pred[71],1.6,0.06,1.47,1.71,0.0,0.0,4151.95,3836.13,1.0
y_pred[72],1.59,0.06,1.47,1.71,0.0,0.0,4050.37,3968.54,1.0
y_pred[73],1.58,0.06,1.47,1.71,0.0,0.0,3974.06,3677.1,1.0
y_pred[74],1.58,0.06,1.46,1.7,0.0,0.0,4238.65,4112.39,1.0
y_pred[75],1.57,0.06,1.45,1.7,0.0,0.0,4022.28,3876.42,1.0
y_pred[76],1.57,0.06,1.45,1.7,0.0,0.0,4134.11,3887.11,1.0
y_pred[77],1.56,0.06,1.44,1.68,0.0,0.0,4172.79,4086.66,1.0
y_pred[78],1.56,0.06,1.44,1.69,0.0,0.0,3959.42,4001.32,1.0
y_pred[79],1.56,0.06,1.44,1.69,0.0,0.0,4051.9,4031.68,1.0
y_pred[80],1.56,0.06,1.43,1.68,0.0,0.0,3938.06,3814.77,1.0
y_pred[81],1.55,0.06,1.43,1.68,0.0,0.0,3988.17,3928.77,1.0
y_pred[82],1.55,0.06,1.44,1.67,0.0,0.0,3853.56,3876.41,1.0
y_pred[83],1.55,0.06,1.43,1.68,0.0,0.0,3915.0,3897.29,1.0
y_pred[84],1.55,0.06,1.43,1.67,0.0,0.0,4099.26,3658.2,1.0
y_pred[85],1.55,0.06,1.43,1.67,0.0,0.0,3737.5,3864.96,1.0
y_pred[86],1.55,0.06,1.44,1.68,0.0,0.0,4004.06,3801.71,1.0
y_pred[87],1.54,0.06,1.42,1.66,0.0,0.0,3735.74,3760.11,1.0
y_pred[88],1.54,0.06,1.42,1.67,0.0,0.0,3985.56,3966.03,1.0
y_pred[89],1.54,0.06,1.42,1.66,0.0,0.0,3746.6,3951.85,1.0
y_pred[90],1.54,0.06,1.41,1.66,0.0,0.0,3955.38,4010.84,1.0
y_pred[91],1.54,0.06,1.41,1.66,0.0,0.0,3920.71,3774.83,1.0
y_pred[92],1.53,0.06,1.41,1.65,0.0,0.0,4108.61,3915.96,1.0
y_pred[93],1.53,0.06,1.41,1.65,0.0,0.0,3857.96,3674.02,1.0
y_pred[94],1.53,0.06,1.41,1.65,0.0,0.0,3875.82,3958.96,1.0
y_pred[95],1.52,0.06,1.39,1.64,0.0,0.0,3596.33,3841.45,1.0
y_pred[96],1.52,0.06,1.41,1.65,0.0,0.0,3957.31,3274.86,1.0
y_pred[97],1.52,0.06,1.39,1.63,0.0,0.0,4032.74,3705.0,1.0
y_pred[98],1.51,0.06,1.39,1.63,0.0,0.0,3684.59,3882.54,1.0
y_pred[99],1.51,0.06,1.39,1.63,0.0,0.0,3775.47,3646.86,1.0
y_pred[100],1.51,0.06,1.38,1.62,0.0,0.0,4183.61,3848.22,1.0
y_pred[101],1.5,0.06,1.37,1.61,0.0,0.0,4003.39,3992.88,1.0
y_pred[102],1.5,0.06,1.37,1.61,0.0,0.0,3856.12,3878.83,1.0
y_pred[103],1.49,0.06,1.38,1.62,0.0,0.0,4013.03,4100.37,1.0
y_pred[104],1.49,0.06,1.37,1.6,0.0,0.0,4091.46,3850.45,1.0
y_pred[105],1.48,0.06,1.36,1.6,0.0,0.0,4239.71,3793.21,1.0
y_pred[106],1.48,0.06,1.35,1.59,0.0,0.0,4041.48,3871.82,1.0
y_pred[107],1.47,0.06,1.35,1.6,0.0,0.0,4061.98,3909.55,1.0
y_pred[108],1.47,0.06,1.34,1.58,0.0,0.0,4069.96,3931.61,1.0
y_pred[109],1.46,0.06,1.34,1.58,0.0,0.0,4057.77,3667.83,1.0
y_pred[110],1.46,0.06,1.33,1.57,0.0,0.0,4035.2,3894.37,1.0
y_pred[111],1.45,0.06,1.33,1.58,0.0,0.0,4010.65,3663.22,1.0
y_pred[112],1.45,0.06,1.33,1.57,0.0,0.0,4227.86,3968.9,1.0
y_pred[113],1.45,0.06,1.31,1.57,0.0,0.0,3863.69,3969.51,1.0
y_pred[114],1.44,0.06,1.33,1.57,0.0,0.0,3993.51,4013.71,1.0
y_pred[115],1.44,0.06,1.32,1.56,0.0,0.0,4123.29,3852.15,1.0
y_pred[116],1.43,0.06,1.31,1.55,0.0,0.0,4095.82,3850.87,1.0
y_pred[117],1.43,0.06,1.32,1.56,0.0,0.0,4007.03,4022.84,1.0
y_pred[118],1.43,0.06,1.31,1.56,0.0,0.0,3755.91,3589.6,1.0
y_pred[119],1.43,0.06,1.3,1.55,0.0,0.0,3666.11,3830.14,1.0
y_pred[120],1.42,0.06,1.3,1.55,0.0,0.0,4197.22,3728.64,1.0
y_pred[121],1.42,0.06,1.3,1.54,0.0,0.0,4068.0,3954.52,1.0
y_pred[122],1.42,0.06,1.3,1.54,0.0,0.0,4046.72,4015.05,1.0
y_pred[123],1.42,0.06,1.29,1.53,0.0,0.0,4061.71,3803.86,1.0
y_pred[124],1.41,0.06,1.3,1.54,0.0,0.0,3568.24,3614.54,1.0
y_pred[125],1.41,0.06,1.29,1.54,0.0,0.0,3586.2,3888.03,1.0
y_pred[126],1.41,0.06,1.28,1.53,0.0,0.0,4101.59,4054.27,1.0
y_pred[127],1.41,0.06,1.29,1.54,0.0,0.0,4083.45,3970.51,1.0
y_pred[128],1.41,0.06,1.28,1.53,0.0,0.0,3928.9,3792.77,1.0
y_pred[129],1.4,0.06,1.28,1.53,0.0,0.0,3819.07,3853.37,1.0
y_pred[130],1.4,0.06,1.28,1.52,0.0,0.0,4130.94,3835.18,1.0
y_pred[131],1.4,0.06,1.28,1.52,0.0,0.0,3912.73,3850.13,1.0
y_pred[132],1.39,0.06,1.27,1.51,0.0,0.0,4338.43,4056.55,1.0
y_pred[133],1.39,0.06,1.27,1.51,0.0,0.0,4462.07,3897.28,1.0
y_pred[134],1.39,0.06,1.27,1.51,0.0,0.0,4131.14,3824.24,1.0
y_pred[135],1.38,0.06,1.27,1.52,0.0,0.0,3680.5,3870.55,1.0
y_pred[136],1.38,0.06,1.25,1.5,0.0,0.0,4010.5,3686.55,1.0
y_pred[137],1.38,0.06,1.25,1.51,0.0,0.0,4096.11,3881.2,1.0
y_pred[138],1.38,0.06,1.25,1.5,0.0,0.0,4106.85,3957.58,1.0
y_pred[139],1.37,0.06,1.25,1.49,0.0,0.0,3991.6,3681.72,1.0
y_pred[140],1.37,0.06,1.25,1.49,0.0,0.0,4049.15,3971.8,1.0
y_pred[141],1.37,0.06,1.24,1.49,0.0,0.0,4215.68,4112.15,1.0
y_pred[142],1.36,0.06,1.24,1.48,0.0,0.0,4069.02,3958.03,1.0
y_pred[143],1.36,0.06,1.23,1.48,0.0,0.0,3991.61,3987.4,1.0
y_pred[144],1.35,0.06,1.24,1.48,0.0,0.0,3824.71,4000.55,1.0
y_pred[145],1.35,0.06,1.23,1.47,0.0,0.0,3904.36,4077.38,1.0
y_pred[146],1.35,0.06,1.22,1.46,0.0,0.0,4105.55,3960.74,1.0
y_pred[147],1.34,0.06,1.22,1.46,0.0,0.0,3900.17,3970.45,1.0
y_pred[148],1.34,0.06,1.22,1.47,0.0,0.0,3785.96,3545.83,1.0
y_pred[149],1.34,0.06,1.21,1.46,0.0,0.0,4104.42,3932.33,1.0
y_pred[150],1.33,0.06,1.21,1.46,0.0,0.0,3929.73,3562.3,1.0
y_pred[151],1.33,0.06,1.2,1.44,0.0,0.0,4403.08,3668.54,1.0
y_pred[152],1.33,0.06,1.2,1.44,0.0,0.0,4099.2,3892.24,1.0
y_pred[153],1.32,0.06,1.2,1.44,0.0,0.0,4104.23,3739.32,1.0
y_pred[154],1.32,0.06,1.2,1.44,0.0,0.0,4050.5,3587.47,1.0
y_pred[155],1.32,0.06,1.19,1.43,0.0,0.0,3963.2,3970.02,1.0
y_pred[156],1.32,0.06,1.19,1.43,0.0,0.0,3754.45,3787.9,1.0
y_pred[157],1.31,0.06,1.19,1.43,0.0,0.0,3828.27,3355.23,1.0
y_pred[158],1.31,0.06,1.18,1.42,0.0,0.0,4364.67,3743.89,1.0
y_pred[159],1.31,0.06,1.19,1.43,0.0,0.0,3901.19,3916.56,1.0
y_pred[160],1.31,0.06,1.19,1.43,0.0,0.0,4190.39,3548.79,1.0
y_pred[161],1.3,0.06,1.17,1.42,0.0,0.0,4086.04,3948.2,1.0
y_pred[162],1.3,0.06,1.18,1.42,0.0,0.0,3589.18,3864.16,1.0
y_pred[163],1.3,0.06,1.18,1.42,0.0,0.0,3991.02,4041.45,1.0
y_pred[164],1.3,0.06,1.17,1.42,0.0,0.0,4053.77,3499.31,1.0
y_pred[165],1.29,0.06,1.17,1.42,0.0,0.0,4110.79,3849.86,1.0
y_pred[166],1.3,0.06,1.18,1.43,0.0,0.0,3998.71,3852.87,1.0
y_pred[167],1.29,0.07,1.17,1.42,0.0,0.0,4303.84,3748.72,1.0
